id,name,name@ca,code,account_type,reconcile,non_trade
account_common_480,Despeses anticipades,Despeses anticipades,480,asset_current,False,
account_common_485,Ingressos anticipats,Ingressos anticipats,485,liability_current,False,
account_common_493,Deteriorament de valor de crèdits per operacions comercials amb parts vinculades,Deteriorament de valor de crèdits per operacions comercials amb parts vinculades,493,liability_current,True,
account_common_499,Provisions per operacions comercials,Provisions per operacions comercials,499,liability_current,True,
account_common_500,Obligacions i bons a curt termini,Obligacions i bons a curt termini,500,liability_current,False,
account_common_505,Deutes representats en altres valors negociables a curt termini,Deutes representats en altres valors negociables a curt termini,505,liability_current,False,
account_common_506,Interessos a curt termini d’emprèstits i altres emissions anàlogues,Interessos a curt termini d’emprèstits i altres emissions anàlogues,506,liability_current,False,
account_common_510,Deutes a curt termini amb entitats de crèdit vinculades,Deutes a curt termini amb entitats de crèdit vinculades,510,liability_current,False,
account_common_511,"Proveïdors d’immobilitzat a curt termini, parts vinculades","Proveïdors d’immobilitzat a curt termini, parts vinculades",511,liability_current,False,
account_common_512,"Creditors per arrendament financer a curt termini, parts vinculades","Creditors per arrendament financer a curt termini, parts vinculades",512,liability_current,False,
account_common_513,Altres deutes a curt termini amb parts vinculades,Altres deutes a curt termini amb parts vinculades,513,liability_current,False,
account_common_514,Interessos a curt termini de deutes amb parts vinculades,Interessos a curt termini de deutes amb parts vinculades,514,liability_current,False,
account_common_520,Deutes a curt termini amb entitats de crèdit,Deutes a curt termini amb entitats de crèdit,520,liability_current,True,
account_common_523,Proveïdors d’immobilitzat a curt termini,Proveïdors d’immobilitzat a curt termini,523,liability_payable,True,
account_common_524,Creditors per arrendament financer a curt termini,Creditors per arrendament financer a curt termini,524,liability_current,False,
account_common_526,Dividend actiu a pagar,Dividend actiu a pagar,526,liability_payable,True,
account_common_527,Interessos a curt termini de deutes amb entitats de crèdit,Interessos a curt termini de deutes amb entitats de crèdit,527,liability_current,False,
account_common_528,Altres deutes a curt termini,Altres deutes a curt termini,528,liability_current,False,
account_common_529,Provisions a curt termini,Provisions a curt termini,529,liability_current,True,
account_common_530,Participacions a curt termini en parts vinculades,Participacions a curt termini en parts vinculades,530,asset_current,False,
account_common_531,Crèdits i valors representatius de deute a curt termini de parts vinculades,Crèdits i valors representatius de deute a curt termini de parts vinculades,531,asset_current,False,
account_common_533,Interessos a curt termini de crèdits i valors representatius de deute de parts vinculades,Interessos a curt termini de crèdits i valors representatius de deute de parts vinculades,533,asset_current,False,
account_common_535,Dividend a cobrar d’inversions financeres en parts vinculades,Dividend a cobrar d’inversions financeres en parts vinculades,535,asset_current,False,
account_common_540,Inversions financeres a curt termini en instruments de patrimoni,Inversions financeres a curt termini en instruments de patrimoni,540,asset_current,False,
account_common_541,Crèdits i valors representatius de deute a curt termini,Crèdits i valors representatius de deute a curt termini,541,asset_current,False,
account_common_543,Crèdits a curt termini per alienació d’immobilitzat,Crèdits a curt termini per alienació d’immobilitzat,543,asset_current,False,
account_common_544,Crèdits a curt termini al personal,Crèdits a curt termini al personal,544,asset_current,False,
account_common_545,Dividend a cobrar,Dividend a cobrar,545,asset_current,False,
account_common_546,Interessos a curt termini de crèdits i valors representatius de deutes,Interessos a curt termini de crèdits i valors representatius de deutes,546,asset_current,False,
account_common_548,Imposicions a curt termini,Imposicions a curt termini,548,asset_current,False,
account_common_550,Titular de l’explotació,Titular de l’explotació,550,asset_current,False,
account_common_552,Compte corrent amb altres persones i entitats vinculades,Compte corrent amb altres persones i entitats vinculades,552,asset_current,False,
account_common_554,Compte corrent amb unions temporals d’empreses i comunitats de béns,Compte corrent amb unions temporals d’empreses i comunitats de béns,554,asset_current,False,
account_common_555,Partides pendents d’aplicació,Partides pendents d’aplicació,555,liability_current,False,
account_common_556,Desemborsaments exigits sobre participacions en el patrimoni net,Desemborsaments exigits sobre participacions en el patrimoni net,556,liability_current,False,
account_common_557,Dividend actiu a compte,Dividend actiu a compte,557,asset_current,False,
account_common_560,Fiances rebudes a curt termini,Fiances rebudes a curt termini,560,liability_current,False,
account_common_561,Dipòsits rebuts a curt termini,Dipòsits rebuts a curt termini,561,liability_current,False,
account_common_565,Fiances constituïdes a curt termini,Fiances constituïdes a curt termini,565,asset_current,False,
account_common_566,Dipòsits constituïts a curt termini,Dipòsits constituïts a curt termini,566,asset_current,False,
account_common_567,Interessos pagats per anticipat,Interessos pagats per anticipat,567,asset_current,False,
account_common_568,Interessos cobrats per anticipat,Interessos cobrats per anticipat,568,liability_current,False,
account_common_570,"Caixa, euros","Caixa, euros",570,asset_cash,False,
account_common_571,"Caixa, moneda estrangera","Caixa, moneda estrangera",571,asset_cash,False,
pgc_572_child,"Bancs i institucions de crèdit c/c vista, euros","Bancs i institucions de crèdit c/c vista, euros",572,asset_cash,False,
account_common_573,"Bancs i institucions de crèdit c/c vista, moneda estrangera","Bancs i institucions de crèdit c/c vista, moneda estrangera",573,asset_cash,False,
account_common_574,"Bancs i institucions de crèdit, comptes d’estalvi, euros","Bancs i institucions de crèdit, comptes d’estalvi, euros",574,asset_cash,False,
account_common_575,"Bancs i institucions de crèdit, comptes d’estalvi, moneda estrangera","Bancs i institucions de crèdit, comptes d’estalvi, moneda estrangera",575,asset_cash,False,
account_common_576,Inversions a curt termini de gran liquiditat,Inversions a curt termini de gran liquiditat,576,asset_current,False,
account_common_593,Deteriorament de valor de participacions a curt termini en parts vinculades,Deteriorament de valor de participacions a curt termini en parts vinculades,593,asset_current,False,
account_common_594,Deteriorament de valor de valors representatius de deute a curt termini de parts vinculades,Deteriorament de valor de valors representatius de deute a curt termini de parts vinculades,594,asset_current,False,
account_common_595,Deteriorament de valor de crèdits a curt termini en parts vinculades,Deteriorament de valor de crèdits a curt termini en parts vinculades,595,asset_current,False,
account_common_597,Deteriorament de valor de valors representatius de deute a curt termini,Deteriorament de valor de valors representatius de deute a curt termini,597,asset_current,False,
account_common_598,Deteriorament de valor de crèdits a curt termini,Deteriorament de valor de crèdits a curt termini,598,asset_current,False,
account_common_600,Compres de mercaderies,Compres de mercaderies,600,expense,False,
account_common_601,Compres de matèries primeres,Compres de matèries primeres,601,expense,False,
account_common_602,Compres d’altres aprovisionaments,Compres d’altres aprovisionaments,602,expense,False,
account_common_606,Descomptes sobre compres per pagament immediat,Descomptes sobre compres per pagament immediat,606,expense,False,
account_common_607,Treballs realitzats per altres empreses,Treballs realitzats per altres empreses,607,expense,False,
account_common_608,Devolucions de compres i operacions similars,Devolucions de compres i operacions similars,608,expense,False,
account_common_609,Ràpels per compres,Ràpels per compres,609,expense,False,
account_common_610,Variació d’existències de mercaderies,Variació d’existències de mercaderies,610,expense,False,
account_common_611,Variació d’existències de matèries primeres,Variació d’existències de matèries primeres,611,expense,False,
account_common_612,Variació d’existències d’altres aprovisionaments,Variació d’existències d’altres aprovisionaments,612,expense,False,
account_common_620,Despeses en investigació i desenvolupament de l’exercici,Despeses en investigació i desenvolupament de l’exercici,620,expense,False,
account_common_621,Arrendaments i cànons,Arrendaments i cànons,621,expense,False,
account_common_622,Reparacions i conservació,Reparacions i conservació,622,expense,False,
account_common_623,Serveis de professionals independents,Serveis de professionals independents,623,expense,False,
account_common_624,Transports,Transports,624,expense,False,
account_common_625,Primes d’assegurances,Primes d’assegurances,625,expense,False,
account_common_626,Serveis bancaris i similars,Serveis bancaris i similars,626,expense,False,
account_common_627,"Publicitat, propaganda i relacions públiques","Publicitat, propaganda i relacions públiques",627,expense,False,
account_common_628,Subministraments,Subministraments,628,expense,False,
account_common_629,Altres serveis,Altres serveis,629,expense,False,
account_common_631,Altres tributs,Altres tributs,631,expense,False,
account_common_640,Sous i salaris,Sous i salaris,640,expense,False,
account_common_641,Indemnitzacions,Indemnitzacions,641,expense,False,
account_common_642,Caixa Andorrana de Seguretat Social a càrrec de l’empresari,Caixa Andorrana de Seguretat Social a càrrec de l’empresari,642,expense,False,
account_common_649,Altres despeses socials,Altres despeses socials,649,expense,False,
account_common_660,Despeses financeres per actualització de provisions,Despeses financeres per actualització de provisions,660,expense,False,
account_common_661,Interessos d’obligacions i bons,Interessos d’obligacions i bons,661,expense,False,
account_common_662,Interessos de deutes,Interessos de deutes,662,expense,False,
account_common_664,Despeses per dividends d’accions o participacions considerades passius financers,Despeses per dividends d’accions o participacions considerades passius financers,664,expense,False,
account_common_665,Interessos per descompte d’efectes i operacions de “factoring”,Interessos per descompte d’efectes i operacions de “factoring”,665,expense,False,
account_common_666,Pèrdues en participacions i valors representatius de deute,Pèrdues en participacions i valors representatius de deute,666,expense,False,
account_common_667,Pèrdues de crèdits no comercials,Pèrdues de crèdits no comercials,667,expense,False,
account_common_668,Diferències negatives de canvi,Diferències negatives de canvi,668,expense,False,
account_common_669,Altres despeses financeres,Altres despeses financeres,669,expense,False,
account_common_670,Pèrdues procedents de l’immobilitzat intangible,Pèrdues procedents de l’immobilitzat intangible,670,expense,False,
account_common_672,Pèrdues procedents de les inversions immobiliàries,Pèrdues procedents de les inversions immobiliàries,672,expense,False,
account_common_673,Pèrdues procedents de participacions a llarg termini en parts vinculades,Pèrdues procedents de participacions a llarg termini en parts vinculades,673,expense,False,
account_common_675,Pèrdues per operacions amb obligacions pròpies,Pèrdues per operacions amb obligacions pròpies,675,expense,False,
account_common_678,Despeses excepcionals,Despeses excepcionals,678,expense,False,
account_common_680,Amortització de l’immobilitzat intangible,Amortització de l’immobilitzat intangible,680,expense,False,
account_common_681,Amortització de l’immobilitzat tangible,Amortització de l’immobilitzat tangible,681,expense,False,
account_common_682,Amortització de les inversions immobiliàries,Amortització de les inversions immobiliàries,682,expense,False,
account_common_690,Pèrdues per deteriorament de l’immobilitzat intangible,Pèrdues per deteriorament de l’immobilitzat intangible,690,expense,False,
account_common_692,Pèrdues per deteriorament de les inversions immobiliàries,Pèrdues per deteriorament de les inversions immobiliàries,692,expense,False,
account_common_693,Pèrdues per deteriorament d’existències,Pèrdues per deteriorament d’existències,693,expense,False,
account_common_695,Dotació a la provisió per operacions comercials,Dotació a la provisió per operacions comercials,695,expense,False,
account_common_696,Pèrdues per deteriorament de participacions i valors representatius de deute a llarg termini,Pèrdues per deteriorament de participacions i valors representatius de deute a llarg termini,696,expense,False,
account_common_697,Pèrdues per deteriorament de crèdits a llarg termini,Pèrdues per deteriorament de crèdits a llarg termini,697,expense,False,
account_common_698,Pèrdues per deteriorament de participacions i valors representatius de deute a curt termini,Pèrdues per deteriorament de participacions i valors representatius de deute a curt termini,698,expense,False,
account_common_699,Pèrdues per deteriorament de crèdits a curt termini,Pèrdues per deteriorament de crèdits a curt termini,699,expense,False,
account_common_700,Vendes de mercaderies,Vendes de mercaderies,700,income,False,
account_common_701,Vendes de productes acabats,Vendes de productes acabats,701,income,False,
account_common_702,Vendes de productes semiacabats,Vendes de productes semiacabats,702,income,False,
account_common_703,Vendes de subproductes i residus,Vendes de subproductes i residus,703,income,False,
account_common_704,Vendes d’envasos i embalatges,Vendes d’envasos i embalatges,704,income,False,
account_common_705,Prestació de serveis,Prestació de serveis,705,income,False,
account_common_706,Descompte sobre vendes per pagament immediat,Descompte sobre vendes per pagament immediat,706,income,False,
account_common_708,Devolucions de vendes i operacions similars,Devolucions de vendes i operacions similars,708,income,False,
account_common_709,Ràpels sobre vendes,Ràpels sobre vendes,709,income,False,
account_common_710,Variació d’existències de productes en curs,Variació d’existències de productes en curs,710,income,False,
account_common_711,Variació d’existències de productes semiacabats,Variació d’existències de productes semiacabats,711,income,False,
account_common_712,Variació d’existències de productes acabats,Variació d’existències de productes acabats,712,income,False,
account_common_713,"Variació d’existències de subproductes, residus i materials recuperats","Variació d’existències de subproductes, residus i materials recuperats",713,income,False,
account_common_730,Treballs realitzats per a l’immobilitzat intangible,Treballs realitzats per a l’immobilitzat intangible,730,income,False,
account_common_731,Treballs realitzats per a l’immobilitzat tangible,Treballs realitzats per a l’immobilitzat tangible,731,income,False,
account_common_732,Treballs realitzats en inversions immobiliàries,Treballs realitzats en inversions immobiliàries,732,income,False,
account_common_733,Treballs realitzats per a l’immobilitzat tangible en curs,Treballs realitzats per a l’immobilitzat tangible en curs,733,income,False,
account_common_740,"Subvencions, donacions i llegats a l’explotació","Subvencions, donacions i llegats a l’explotació",740,income,False,
account_common_746,"Subvencions, donacions i llegats de capital transferits al resultat de l’exercici","Subvencions, donacions i llegats de capital transferits al resultat de l’exercici",746,income,False,
account_common_747,"Altres subvencions, donacions i llegats transferits al resultat de l’exercici","Altres subvencions, donacions i llegats transferits al resultat de l’exercici",747,income,False,
account_common_752,Ingressos per arrendaments,Ingressos per arrendaments,752,income,False,
account_common_753,Ingressos de propietat industrial cedida en explotació,Ingressos de propietat industrial cedida en explotació,753,income,False,
account_common_754,Ingressos per comissions,Ingressos per comissions,754,income,False,
account_common_755,Ingressos per serveis al personal,Ingressos per serveis al personal,755,income,False,
account_common_759,Ingressos per serveis diversos,Ingressos per serveis diversos,759,income,False,
account_common_760,Ingressos de participacions en instruments de patrimoni,Ingressos de participacions en instruments de patrimoni,760,income,False,
account_common_761,Interessos de valors representatius de deute,Interessos de valors representatius de deute,761,income,False,
account_common_762,Interessos de crèdits,Interessos de crèdits,762,income,False,
account_common_766,Beneficis en participacions i valors representatius de deute,Beneficis en participacions i valors representatius de deute,766,income,False,
account_common_768,Diferències positives de canvi,Diferències positives de canvi,768,income_other,False,
account_common_769,Altres ingressos financers,Altres ingressos financers,769,income,False,
account_common_770,Beneficis procedents de l’immobilitzat intangible,Beneficis procedents de l’immobilitzat intangible,770,income,False,
account_common_771,Beneficis procedents de l’immobilitzat tangible,Beneficis procedents de l’immobilitzat tangible,771,income,False,
account_common_772,Beneficis procedents de les inversions immobiliàries,Beneficis procedents de les inversions immobiliàries,772,income,False,
account_common_773,Beneficis procedents de participacions a llarg termini en parts vinculades,Beneficis procedents de participacions a llarg termini en parts vinculades,773,income,False,
account_common_775,Beneficis per operacions amb obligacions pròpies,Beneficis per operacions amb obligacions pròpies,775,income,False,
account_common_778,Ingressos excepcionals,Ingressos excepcionals,778,income,False,
account_common_790,Reversió del deteriorament de l’immobilitzat intangible,Reversió del deteriorament de l’immobilitzat intangible,790,income,False,
account_common_792,Reversió del deteriorament de les inversions immobiliàries,Reversió del deteriorament de les inversions immobiliàries,792,income,False,
account_common_793,Reversió del deteriorament d’existències,Reversió del deteriorament d’existències,793,income,False,
account_common_796,Reversió del deteriorament de participacions i valors representatius de deute a llarg termini,Reversió del deteriorament de participacions i valors representatius de deute a llarg termini,796,income,False,
account_common_797,Reversió del deteriorament de crèdits a llarg termini,Reversió del deteriorament de crèdits a llarg termini,797,income,False,
account_common_798,Reversió del deteriorament de participacions i valors representatius de deute a curt termini,Reversió del deteriorament de participacions i valors representatius de deute a curt termini,798,income,False,
account_common_799,Reversió del deteriorament de crèdits a curt termini,Reversió del deteriorament de crèdits a curt termini,799,income,False,
